img_path,predict
1f281d63-e48b-498f-aabe-eb00fd6926a0.webp,fake
4de221fd-2aa8-4235-937b-82d3a31967ef.webp,fake
000000171462.jpg,real
a43d0f46-5f0a-4932-80c1-176903979837.webp,fake
b3b936d6-41ca-45db-b44a-c3f0ba37cab7.webp,fake
19d50e92-e561-4b23-9c91-e3c1e99f7b33.webp,fake
000000572705.jpg,real
000000296494.jpg,fake
000000482641.jpg,real
642aa8c2-2cd0-43bc-ad85-435fc7317be9.webp,fake
000000570315.jpg,real
000000526189.jpg,real
000000413890.jpg,real
d726db74-3392-4f89-9f3c-98f8400a8d88.webp,real
000000054131.jpg,real
000000269698.jpg,real
add0d83c-789c-4c56-a47c-85cebdab5cc4.webp,fake
41acb092-f2eb-4cbf-b53c-9b8495e6628b.webp,fake
a91fef22-ad7b-4710-8eb5-9c2b583b0961.webp,real
000000438474.jpg,real
37bfb125-e9b6-4cb4-b9ca-e243ea4e0467.webp,fake
220b6f22-775a-4c32-8453-112af63e80ea.webp,fake
0dadde5d-2a34-439a-9d27-5bb069576d15.webp,real
000000364706.jpg,real
e6409e21-266a-463c-90d4-0d3535d96ca0.webp,fake
1d3129ce-ec11-47a4-a377-0a55344458c4.webp,fake
000000273927.jpg,real
782360ec-bd82-42e8-be51-809c9231df09.webp,real
bdd1bcdd-0700-46b8-9af5-2831ac1b466c.webp,fake
000000497278.jpg,real
a19de839-0aef-4991-8e4b-7d0cafe5ab21.webp,fake
000000186905.jpg,real
53ef7799-7b3a-438a-80c4-9ff94d9bc818.webp,fake
000000524461.jpg,real
000000011827.jpg,real
56e349cb-eed5-4884-926e-49c12e018cbc.webp,real
ac18a89a-e708-4f4e-9113-bc10eab5c079.webp,fake
b17b3245-17f5-4e50-998a-3f05034432f5.webp,fake
34914d64-0c0a-41ed-9d95-795b3a77d299.webp,fake
000000559765.jpg,real
